Plot,TreeID,Species,Year,DBH,GapYears,PrevDBH,GrowthRate,GrowthType,DBH_cm,Group,Carbon,CO2e,PrevCarbon,CarbonGrowthRate
Upper,167,sugar maple,2021,2.8,3.0,2.72,0.0098039215686274,annualized,7.111999999999999,hardwood,6.833485601954647,25.078892159173552,6.392743670437877,0.0229813652394095
Upper,167,sugar maple,2022,2.8,1.0,2.8,0.0,normal,7.111999999999999,hardwood,6.833485601954647,25.078892159173552,6.833485601954647,0.0
Upper,167,sugar maple,2023,2.75,1.0,2.8,-0.0178571428571427,normal,6.985,hardwood,6.556076423102267,24.06080047278532,6.833485601954647,-0.0405955605983906
Upper,167,sugar maple,2024,2.7,1.0,2.75,-0.0181818181818181,normal,6.8580000000000005,hardwood,6.285147427752522,23.066491059851753,6.556076423102267,-0.0413248683915652
Upper,167,sugar maple,2025,2.85,1.0,2.7,0.0555555555555555,normal,7.239000000000001,hardwood,7.117410089456821,26.12089502830653,6.285147427752522,0.1324173651089525
Upper,168,sugar maple,2015,2.4,,,,initial,6.096,hardwood,4.7936317430245,17.592628496899916,,
Upper,168,sugar maple,2016,2.375,1.0,2.4,-0.0104166666666666,normal,6.0325,hardwood,4.679561117140884,17.173989299907046,4.7936317430245,-0.0237962847374763
Upper,168,sugar maple,2017,2.5,1.0,2.375,0.0526315789473684,normal,6.35,hardwood,5.265514724444983,19.324439038713088,4.679561117140884,0.1252155047527414
Upper,168,sugar maple,2018,2.44,1.0,2.5,-0.024,normal,6.1976,hardwood,4.979381623436866,18.274330558013297,5.265514724444983,-0.0543409554396939
Upper,168,sugar maple,2021,2.56,3.0,2.44,0.0163934426229508,annualized,6.502400000000001,hardwood,5.560716214113794,20.40782850579762,4.979381623436866,0.0389161168086088
Upper,168,sugar maple,2022,2.56,1.0,2.56,0.0,normal,6.502400000000001,hardwood,5.560716214113794,20.40782850579762,5.560716214113794,0.0
Upper,168,sugar maple,2023,2.75,1.0,2.56,0.0742187499999999,normal,6.985,hardwood,6.556076423102267,24.06080047278532,5.560716214113794,0.1789985625344671
Upper,168,sugar maple,2024,2.63,1.0,2.75,-0.0436363636363636,normal,6.6802,hardwood,5.916665719450596,21.714163190383687,6.556076423102267,-0.0975294768374753
Upper,168,sugar maple,2025,2.61,1.0,2.63,-0.0076045627376425,normal,6.6293999999999995,hardwood,5.8136914467490275,21.33624760956893,5.916665719450596,-0.017404105214707
Upper,17,sugar maple,2015,20.6,,,,initial,52.324000000000005,hardwood,673.0904341304744,2470.2418932588407,,
Upper,17,sugar maple,2016,21.25,1.0,20.6,0.0315533980582523,normal,53.975,hardwood,722.9435056262056,2653.2026656481744,673.0904341304744,0.0740659337405878
Upper,17,sugar maple,2017,21.2,1.0,21.25,-0.0023529411764706,normal,53.848,hardwood,719.0370877404226,2638.866112007351,722.9435056262056,-0.0054034898375624
Upper,17,sugar maple,2018,21.12,1.0,21.2,-0.0037735849056602,normal,53.6448,hardwood,712.8116900836726,2616.0189026070784,719.0370877404226,-0.0086579646069625
Upper,17,sugar maple,2021,22.06,3.0,21.12,0.0148358585858585,annualized,56.0324,hardwood,787.9006889959028,2891.5955286149633,712.8116900836726,0.0351139952560803
Upper,17,sugar maple,2022,22.4,1.0,22.06,0.0154125113327289,normal,56.895999999999994,hardwood,816.1110417683766,2995.127523289942,787.9006889959028,0.0358044524728426
Upper,17,sugar maple,2023,21.7,1.0,22.4,-0.0312499999999999,normal,55.118,hardwood,758.6408068940879,2784.2117613013024,816.1110417683766,-0.0704196266598235
Upper,17,sugar maple,2024,22.67,1.0,21.7,0.0447004608294932,normal,57.58180000000001,hardwood,838.9137408471101,3078.8134289088944,758.6408068940879,0.1058115161003051
Upper,17,sugar maple,2025,22.87,1.0,22.67,0.0088222320247022,normal,58.0898,hardwood,856.033952425806,3141.644605402708,838.9137408471101,0.0204075946609342
Upper,171,sugar maple,2015,6.2,,,,initial,15.748,hardwood,42.52846398772181,156.07946283493902,,
Upper,171,sugar maple,2016,6.1,1.0,6.2,-0.0161290322580646,normal,15.494,hardwood,40.967308485507594,150.35002214181287,42.52846398772181,-0.0367084854666965
Upper,171,sugar maple,2017,6.5,1.0,6.1,0.0655737704918033,normal,16.51,hardwood,47.411045443928835,173.99853677921882,40.967308485507594,0.1572897316576398
Upper,171,sugar maple,2018,6.13,1.0,6.5,-0.0569230769230769,normal,15.5702,hardwood,41.4321912788633,152.0561419934283,47.411045443928835,-0.1261067776313114
Upper,171,sugar maple,2021,6.19,3.0,6.13,0.0032626427406199,annualized,15.722600000000002,hardwood,42.37086247926558,155.50106529890468,41.4321912788633,0.0075518670501435
Upper,171,sugar maple,2022,6.31,1.0,6.19,0.0193861066235863,normal,16.0274,hardwood,44.2839485862685,162.5220913116054,42.37086247926558,0.0451509833659651
Upper,171,sugar maple,2023,6.13,1.0,6.31,-0.028526148969889,normal,15.5702,hardwood,41.4321912788633,152.0561419934283,44.2839485862685,-0.0643970873972487
Upper,171,sugar maple,2024,6.25,1.0,6.13,0.0195758564437194,normal,15.875,hardwood,43.32143674949544,158.98967287064826,41.4321912788633,0.0455984926772613
Upper,171,sugar maple,2025,6.18,1.0,6.25,-0.0112,normal,15.6972,hardwood,42.21359161216644,154.92388121665084,43.32143674949544,-0.0255726776499836
Upper,172,sugar maple,2015,19.4,,,,initial,49.276,hardwood,586.3039099969504,2151.735349688808,,
Upper,172,sugar maple,2016,19.9375,1.0,19.4,0.0277061855670103,normal,50.64125,hardwood,624.3403773526334,2291.3291848841645,586.3039099969504,0.0648750020375623
Upper,172,sugar maple,2017,20.3,1.0,19.9375,0.0181818181818182,normal,51.562000000000005,hardwood,650.7582743123862,2388.2828667264575,624.3403773526334,0.0423132924251538
Upper,172,sugar maple,2018,20.06,1.0,20.3,-0.0118226600985222,normal,50.9524,hardwood,633.1986023677115,2323.838870689501,650.7582743123862,-0.0269834017296651
Upper,172,sugar maple,2021,20.5,3.0,20.06,0.0073113991359255,annualized,52.07,hardwood,665.5990478926494,2442.7485057660233,633.1986023677115,0.0170564945467785
Upper,172,sugar maple,2022,20.8,1.0,20.5,0.0146341463414634,normal,52.832,hardwood,688.2155514225341,2525.7510737207,665.5990478926494,0.0339791704953465
Upper,172,sugar maple,2023,20.94,1.0,20.8,0.0067307692307692,normal,53.1876,hardwood,698.9163006058626,2565.022823223516,688.2155514225341,0.0155485431289807
Upper,172,sugar maple,2024,21.22,1.0,20.94,0.0133715377268384,normal,53.8988,hardwood,720.5982193546556,2644.595465031586,698.9163006058626,0.0310221964060615
Upper,172,sugar maple,2025,21.2,1.0,21.22,-0.0009425070688029,normal,53.848,hardwood,719.0370877404226,2638.866112007351,720.5982193546556,-0.0021664383456721
Upper,173,sugar maple,2015,11.2,,,,initial,28.447999999999997,hardwood,165.72203734228694,608.199877046193,,
Upper,173,sugar maple,2016,11.3125,1.0,11.2,0.0100446428571429,normal,28.73375,hardwood,169.57568251564393,622.3427548324132,165.72203734228694,0.0232536676181307
Upper,173,sugar maple,2017,11.4,1.0,11.3125,0.0077348066298342,normal,28.956000000000003,hardwood,172.6076221318073,633.4699732237327,169.57568251564393,0.0178795660508908
